Wavelength,Intensity
470.29321907536189,598.5999755859375
470.30176154755151,599.20001220703125
470.31030394404974,603.79998779296875
470.31884626484788,601.79998779296875
470.3273885099369,601
470.335930679308,601.20001220703125
470.34447277295237,604.5999755859375
470.35301479086121,600.20001220703125
470.36155673302562,601.5999755859375
470.37009859943674,600.20001220703125
470.37864039008588,599.79998779296875
470.387182104964,598.79998779296875
470.39572374406242,602.20001220703125
470.40426530737233,599.79998779296875
470.41280679488472,602
470.42134820659084,600.5999755859375
470.42988954248187,603
470.43843080254896,598.79998779296875
470.4469719867833,599.4000244140625
470.45551309517606,603.79998779296875
470.46405412771833,602.5999755859375
470.47259508440135,597
470.48113596521625,601
470.48967677015423,603.5999755859375
470.49821749920642,598.79998779296875
470.50675815236394,600.20001220703125
470.51529872961805,601.5999755859375
470.52383923095988,598.79998779296875
470.53237965638056,601.79998779296875
470.54092000587133,603
470.54946027942333,601.4000244140625
470.55800047702763,600.79998779296875
470.56654059867554,600.20001220703125
470.57508064435814,602.79998779296875
470.58362061406666,600.79998779296875
470.59216050779213,600
470.60070032552596,599.79998779296875
470.60924006725907,601
470.61777973298274,602
470.62631932268812,602.20001220703125
470.6348588363665,602
470.64339827400886,597.4000244140625
470.65193763560637,602.20001220703125
470.66047692115035,603.79998779296875
470.66901613063186,600.20001220703125
470.6775552640421,601.4000244140625
470.6860943213722,602.4000244140625
470.69463330261345,602.79998779296875
470.70317220775689,599.79998779296875
470.71171103679382,599.5999755859375
470.72024978971524,604.79998779296875
470.72878846651241,600.79998779296875
470.73732706717652,600.20001220703125
470.7458655916987,600.5999755859375
470.75440404007009,598
470.762942412282,599.4000244140625
470.77148070832544,602.79998779296875
470.78001892819162,602.5999755859375
470.78855707187176,596.79998779296875
470.797095139357,598.5999755859375
470.80563313063857,600.4000244140625
470.81417104570761,601
470.82270888455525,599
470.83124664717269,600.20001220703125
470.83978433355105,599.20001220703125
470.84832194368158,602.4000244140625
470.85685947755542,601.79998779296875
470.86539693516374,600.79998779296875
470.87393431649775,599.4000244140625
470.88247162154858,598.4000244140625
470.8910088503074,598.20001220703125
470.89954600276536,600.20001220703125
470.90808307891376,601.79998779296875
470.91662007874356,596.79998779296875
470.92515700224618,603.4000244140625
470.93369384941258,596.79998779296875
470.94223062023406,601.4000244140625
470.95076731470175,601
470.95930393280685,599.4000244140625
470.96784047454048,599.4000244140625
470.9763769398939,600.20001220703125
470.98491332885823,601.4000244140625
470.9934496414246,599.79998779296875
471.00198587758433,602.4000244140625
471.01052203732843,601.5999755859375
